Agro Meat Inc.,0040193697,United States of America
Agro Pratinha Import and Export,0040195574,Brazil
Agro Proveedora del Pacifico SA DE CV,0040190373,Mexico
Agro Sevilla Aceitunas Soc. Coop. And.,0002211235,Spain
PT. Agro Wijaya,0040192348,Indonesia
Agro-Haribec Inc.,0002408491,Canada
Agro.VI.M. S.A.,0002267238,Greece
Agroaguiar - Agroindustria S.A.,0013340100,Portugal
Agrocepia,0002497329,Chile
AgroColmena,0040191353,Guatemala
Agrocorp for Agriculture Investment,0040013659,Egypt
AgroCosm Fan,0040147779,Romania
Agrofergi S.A.C,0040188697,Peru
Agrofino SAC,0040188587,Peru
Agrofoods S.A.,0013041063,Chile
"Agrofusion Farm enterprise ""Integrated agrosystems""",0040173395,Ukraine
"Agrogentra & Co., Ltd. Xiamen",0002454229,China
Agroindustrial y Comercial Super Fruit Ltda.,0040141767,Chile
Agroindustrias Amazonicas,0002499814,Peru
Agrokomplex-VystavnÃ ­ctvo stÃ¡tny podnik Nitra,0012426030,Slovakia
Agrupacio Olearia Lleidatana SLU Agroles,0040107042,Spain
Agrolio Srl,0040190671,Italy
Agromar Industrial SA,0002363693,Peru
Agromonte Soc. Agr. Monterosso Soc. Coop. A.R.L.,0040017312,Italy
Agropartner doo,0040100004,Serbia
Agropecuaria del Consuelo S.A. de C.V.,0011124431,Mexico
Agroprodex,0002268855,Chile
Almira AgroProdexport LLC,0040184686,Ukraine
Agropromotion Sprl,0016129058,Belgium
Agrorosa ImportaÃ§Ã£o e ExportaÃ§Ã£o Ltda.,0002453558,Brazil
Agrorprimus S.A.,0040188621,Argentina
Agros Trading Confectionery S.A.,0000584096,Poland
Agros Nova Sp.z.o.o.,0013262862,Poland
Agrosparta,0040114585,Greece
AgroSprint Ltd.,0002503172,Hungary
Cia. Mercantil Agrosud Ltda,0016164526,Argentina
AGROSUPER LIMITED,0012358536,Chile
Agrosyndicate Ltd.,0017320755,Ukraine
Agrotiki S.A.,0011889833,Greece
AGROVER S.r.l.,0002445409,Italy
Agrozumos S.A.,0002223222,Spain
Agrumi-Gel s.r.l.,0040018866,Italy
AGT Foods,0040188740,Canada
Agthia Group PjSC - Egypt,0040189667,Egypt
Agugiaro & Figna Molini Spa,0012149328,Italy
AGUS,0002454584,Poland
Aheco African Food & Cosmetics,0014863064,Netherlands
Matthaes Verlag GmbH AHGZ - Allgemeine Hotel- und Gastronomie Zeitung,0000360880,Germany
Ahi Guven Frozen & Canned Food Co.,0012149320,Turkey
AHLBORN FLEISCH Handelsgesellschaft mbH,0012121668,Germany
Ahmed Mohamed Saleh Baeshen & Co.,0015948607,Saudi Arabia
AHT,0002452557,Iran
AHT Cooling Systems GmbH,0001819097,Austria
AIB Foods Limited,0040147801,United Kingdom
Aida Bio Srl Start-Up,0040197695,Italy
Aiguebelle Societe Cherifienne de Chocolaterie,0014439014,Morocco
Aires de Jaen SL,0016003608,Spain
Dr Aishah Solution Private Limited,0040188310,Malaysia
AJC International Inc.,0002411183,United States of America
Ajinomoto Foods Europe S.A.S.,0012375933,France
Ajwa Group (Oruba - Basma),0040005160,Egypt
Akanlar Cikolata Icecek Gida San. Ve Nak. Tic. Ltd. Sti,0040102653,Turkey
Akbar Brothers (Pvt) Ltd.,0002330618,Sri Lanka
Akbas Gida Sanayi ve Dis Ticaret A.S.,0002451362,Turkey
Akdaglar Export,0040192337,Turkey
"Ake Rice Mill Co.,Ltd.",0014656726,Thailand
AKI Altonaer Kaviar Import Haus Gustav Rüsch GmbH & Co. KG,0000865583,Germany
"Akjaroen Rice (Exseng Rice) Co.,Ltd.",0014660090,Thailand
Akkilic Gida ve Tarim Urunleri San. Lic. Ltd. Stl.,0040192372,Turkey
Akmaya Pazarlama A.S.,0040192545,Turkey
Aksam Sp. z o.o. Sp. K.,0040138675,Poland
Aksu Gida Mad.Iml. San. Tic. Ltd. Sti.,0017227043,Turkey
Al Alamia 2000 Co. fort Rice Mills,0040142242,Egypt
Al Badr,0040148545,Tunisia
Al Barakah Dates Factory LLC,0040130084,United Arab Emirates
Al Bayader Pack Qatar,0040190529,Qatar
Al Dahlia Company,0014431440,Egypt
Al Douri Food Industries LLC,0015999117,United Arab Emirates
Al Faris Food Industries,0011224966,Saudi Arabia
Al Foah,0040147390,United Arab Emirates
Al Madinah Dates Co. (Tomoor),0002401855,Saudi Arabia
Al Mansour for Trade and Distribution Company (Seclam),0040108041,Egypt
Mohamadia Date Company,0002409352,Saudi Arabia
Al Nasir Exports PVT. LTD,0040182426,India
Al-Noor Exports,0040070344,India
Al Reda for Food Industries,0040189774,Egypt
Al Sakr for Food Industries,0015754181,Egypt
Al Shams Agro Group,0014863364,Egypt
Al Wahab Rice Mills,0040184749,Pakistan
Al-Khaleej Industries Sdn Bhd,0040188287,Malaysia
Al-Quresh Exports,0040137868,India
Aladim,0010376545,Brazil
Alkaramah Dough Production Co. Ltd.,0002364040,Saudi Arabia
Alamal Company for Agricultural Crops,0014870545,Egypt
Alanex GmbH,0040155531,Hungary
Alansar Dates and sweet,0040198347,Saudi Arabia
Alasu Gida San. VE Tic. Ltd. Sti.,0040105419,Turkey
ALB-GOLD Teigwaren GmbH,0001688588,Germany
Alba Gewürze Gehring & Neiweiser GmbH + Co. KG,0000125369,Germany
"Albatrade, S.L. - Turrones San Andres S.A",0002476140,Spain
Albert Herz GmbH,0010496701,Germany
Alberta Wapiti Products Cooperative,0040067318,Canada
Albrau Prod SA,0040198358,Romania
Alcatrading Corp.,0040059467,United States of America
Alcar Uno SpA,0010507690,Italy
"Alcurnia Alimentación, SLU",0001692798,Spain
Aldia N.V.,0002234589,Belgium
Alemar S.A.,0002501815,Argentina
Aleosan Agro Group,0040198257,Morocco
Alesis S.A.,0040192064,Greece
Alesta Foods Inc.,0040192379,Turkey
Alexport Consorcio de Exportacion S de RL de CV,0040190378,Mexico
Alfa Athanasios D. Koukoutaris S.A.,0002332975,Greece
Alfa Interfood S.A.L,0002495466,Lebanon
Egyptian European Co. for Food & Agri Industries (Alfafrost) S.A.E.,0016164491,Egypt
Alfagama S.A. de C.V.,0015406229,Mexico
Alfi s.r.l.,0010385317,Italy
Alfieri Srl,0013854538,Italy
"Alfonso Garcia Lopez, S.A.",0010386052,Spain
Alfonso Sellitto S.p.A.,0002502902,Italy
Alfred Ritter GmbH & Co. KG,0000374822,Germany
Alfrus srl,0012286223,Italy
Alegria GmbH & Co. Kg,0040198035,Germany
Algo Foods SAS,0040013596,France
Alibem Comercial de Alimentos Ltda,0012575485,Brazil
Alicomar,0002453512,Morocco
Alicorp S.A.A.,0016952673,Peru
Aliet Green,0040196821,Indonesia
ALIF Associacao da Industria Alimentar Pelo Frio,0040185277,Portugal
Alifood SRL,0040106743,Italy
"Alika, a.s.",0040015500,Czech Republic
Alimani SARL,0040189782,Morocco
Alimar S.A.,0015403700,Argentina
Alimentari Radice srl,0012149768,Italy
"Alimentias EMC, S.L.",0040065238,Spain
Alimentos la Superior S.A.S,0040108282,Colombia
Alimentos y Conservas del Ecuador S.A.,0040108486,Ecuador
"Alimentos Preparados Naturales, S.L.",0002295560,Spain
"Alimentos Iberandalus, S.L.",0040065380,Spain
Alimentos Cónica S.A.,0040140934,Costa Rica
Alimentos Granix,0040112268,Argentina
Alimentos Kamuk Internacional Costa Rica,0011224295,Costa Rica
Alimentos Orgánicos Uruguayos S.A.,0002450647,Uruguay
Alimentos Polar Colombia S.A.S,0016157842,Colombia
Alimentos Prosalud S.A.,0040140946,Costa Rica
Alimentos SAS S.A.S.,0013261710,Colombia
Alimentos Vegetales Roni S.A.S.,0040189426,Colombia
"Aliminter, S.A.",0002276709,Spain
Alinor SpA,0010507297,Italy
Alion Vegetable & Fruit Co.Ltd,0002446632,Cyprus
Alis s.r.l. - Casa Rinaldi,0001298909,Italy
Alisur S.A.C.,0040107344,Peru
Aljomar,0040190871,Spain
Alka Trading Co SRL,0014213771,Romania
Alkazzi Nuts,0013278687,Lebanon
All Food S.A.,0002500545,Argentina
A.I.F. All in Foods,0040189334,France
All India Rice Exporters Association,0040064758,India
All Nuts SRL,0040198370,Romania
All-Fish Handelsgesellschaft mbH,0010494641,Germany
Allanasons Limited,0001697773,India
ALLANASONS PRIVATE LIMITED,0012576446,India
Allantika Pitsilia Ltd,0015405338,Cyprus
Allclean Reinigungs- und Umwelt-Technik GmbH,0001842390,Germany
Alliance Group Ltd.,0001710737,New Zealand
Alliance Select Foods International Inc.,0002504265,Philippines
Alliance Zone Inc.,0015932069,Canada
Allied International Corp.,0013039024,United States of America
"Almazara Adamuz, S.L.",0040188997,Spain
Almdudler Limonade A. & S. Klein GmbH & Co. KG,0013272443,Austria
"Almendras Llopis, S.A.U.",0011711962,Spain
"Almendrera del Sur, S.coop. And",0002362958,Spain
Almme S.A.,0002293794,Greece
Almond Board of Australia,0040095265,Australia
Almond Products Hatzigeorgiou S.A.,0002268859,Greece
"Almondeli, S.L.",0040062659,Spain
Almondy Vertriebsgesellschaf t mbH,0002268069,Germany
ALOE JAUMAVE SA DE CV,0002286836,Mexico
Alp Senn AG,0002358381,Switzerland
Alpenhain Käsespezialitäten- Werk GmbH & Co. KG,0000251216,Germany
Alpenrind GmbH,0013277937,Austria
Alpenswiss AG,0016128818,Switzerland
Alpha Gefsi - Greek Dips and Spreads S.A.,0040064805,Greece
Sunflower Ltd.,0002393315,Hong Kong
ALPRO C.V.A.,0001667173,Belgium
Alsharif Co. for Exp and Imp.,0040189818,Egypt
Alsharq Dates Factory,0040196248,Saudi Arabia
ALSUN GmbH,0040198482,Germany
"Alsur Sola de Antequera, SA",0002352711,Spain
Altat Gida San. Ve Tic. Ltd. Sti.,0040193427,Turkey
Altenburger Destillerie & Liqueurfabrik GmbH,0001867792,Germany
Alterra S.A.,0002494954,Greece
ALTHO S.A.S.,0002479185,France
Altino Pane Srl,0040190584,Italy
Altinkaya ET VE ET MAM. San.Tic. A.S.,0012511316,Turkey
Altiparmak Gida San. ve Tic. A.S.,0015755961,Turkey
Altra Ltd.,0040015176,Macedonia
Altunkaya Ins. Nak. Gida Tic. A.S.,0013711893,Turkey
Alvestaglass Ab,0016057334,Sweden
ALWELIS-Weber GmbH,0002438779,Germany
ALX Metall Verpackungstechnik Dipl.-Ing. Alexander Josek GmbH,0000218022,Germany
Alysse Food S.A.,0002281502,Belgium
Ama e Salva L'Italia Associazione,0040199614,Italy
AMA for Import & Export,0040191729,Egypt
AMA Meat GmbH & Co.KG,0011948603,Germany
AMA Time,0040189108,Chile
Amadori,0000180114,Italy
Amal al khair dates,0040196246,Saudi Arabia
Amalthia S.A.,0011141775,Greece
Amandau SA,0040192998,Paraguay
"Amanida, S.A.",0002352564,Spain
Amann Kaffee GmbH,0040010909,Austria
Amar International,0002516021,India
Amar Singh Chawal Wala,0002452997,India
Amazon Brazil Group,0040195562,Brazil
Amber Pasta,0013663490,Lithuania
Ambrosi S.p.A.,0011222115,Italy
Ambrosia Oils (1976) Ltd.,0002336461,Cyprus
Ambrosio - I.d.a.v. S.p.A.,0002451810,Italy
G.B. Ambrosoli S.p.A.,0000481637,Italy
AMD-VERDE,0040189824,Egypt
Amendoas do Brasil Ltda.,0002453561,Brazil
"Amendouro, S.A.",0013249125,Portugal
America Handel S.A. de C.V.,0040188577,Mexico
American Peanut Council Inc,0040188198,United Kingdom
American Pop Corn Co.,0002412657,United States of America
American Popcorn Company Ltd.,0012338607,Bulgaria
"American Trading International, Inc",0040013774,United States of America
AMERICORP,0014664097,Argentina
Amerifoods,0002352935,Ecuador
AMG Export AMGEX,0040189764,Morocco
Amica Chips SPA,0002202550,Italy
"AMIRA BASMATI RICE GMBH EUR ANFI, Listed NYSE",0002205396,Germany
Amira Foods Ltd.,0040008447,India
Amiti Overseas DMCC,0017320762,United Arab Emirates
Amley Food Corporation,0040017388,Philippines
Ammerland Asia Pacific Pte. Ltd.,0040182828,Singapore
Ammerland Hungary Kft.,0014862857,Hungary
Ammerland Iberica S.L.U.,0040192175,Spain
Amoy Canning Corporation (Singapore) Ltd,0011222202,Singapore
AMP S.A.,0040114705,Greece
Amplitude bvba,0014892934,Belgium
"Ampro Intertrade Co., Ltd.",0002282783,Thailand
"Follywell No. 6 Trading As ""Amruqa""",0040190556,Papua New Guinea
AMT Alumetall Gießtechnik GmbH,0002494981,Germany
Amul Dehydration,0040196801,India
Amys Kitchen,0040189418,United States of America
An Gida Ürünleri ve Üretim Pazarlama A.S.,0002451367,Turkey
Ana Gida  Ihtiyac Mad. San. Ve Tie. A.S.,0040014823,Turkey
"AEP Anadolu Etap Penkon Gida Ve Tarim Ürünleri Sanayi Ve Tic, A.S.",0040145370,Turkey
Anadolu Eksper Gida San Ic Ve dis tic ltd sti,0040192486,Turkey
"Anagnostopoulos  A. Co., Alfa Sigma",0010601695,Greece
Anahita Co.,0040021277,Iran
Exportadora Anakena Ltda.,0002452473,Chile
Anan Agricultural Cooperatives,0040194015,Japan
Anastasi Srl,0040190675,Italy
Anastassiou Foods S.A.,0002497216,Greece
Andalucia Nuts,0012574092,United States of America
Andean Grain Products Ltd.,0040188195,United Kingdom
Andechser Molkerei Scheitz GmbH,0001268376,Germany
Andes Quality S.A.,0040062885,Chile
Andes Alimentos & Bebidas S.A.C.,0040188604,Peru
Andreas Wendt GmbH,0002350102,Germany
Andreoli SA,0040064366,Argentina
SC Andromi Com SRL,0040107575,Romania
Andros S.N.C.,0000873845,France
Andros Fruits (Materne Confilux SA),0001698486,Belgium
Anduronda Import GmbH,0001398202,Germany
"Angel Camacho Alimentación, S.L.",0001851551,Spain
Angel Foods P.C.,0015925089,Greece
Angst RO SRL,0012352193,Romania
Angulas Aguinaga S.A.U.,0002338683,Spain
"Anhui Greenland Tea Co., Ltd.",0040190428,China
"Anhui Qiangwang Flavouring Food Co., LTD.",0040148983,China
Ani Biscuits Food Ind. & Trade Co.,0040193433,Turkey
Anita Fruit (Ebrahim Babaei Packaging & Trading Co.) Joint Venture with Fajr Bonab Co.,0040111785,Iran
"Anji Foodstuff (H.K.) Co., Ltd.",0040139293,Hong Kong
Anka Fair Trade Ltd,0040199284,Georgia
anliker - brunner GmbH Küchen- und Metzgereimaschinen,0003254216,Germany
Annabella Fabrica de Conserve Raureni,0012932247,Romania
Ano Sp z.o.o.,0040192676,Poland
Anona Trade Ltd.,0040106227,Bulgaria
"Anshan Xinhua Trading Co., Ltd.",0040143462,China
Ansolive,0002440375,Belgium
Antalya Chamber of Commerce and Industry,0040192495,Turkey
Antaris SIA,0013663271,Latvia
Antersdorfer Mühle GmbH & Co. Vertriebs KG,0011109682,Germany
Antica Ardenga Srl,0013854595,Italy
Antica Cascina Srl,0013855685,Italy
Antica Foma SRL,0011121913,Italy
Antica Pasteria S.p.A.,0001025813,Italy
Antica Sicilia Srl,0040191405,Italy
Antichetradizioni di Gragnano,0040197747,Italy
Antico Casale Dei Conti,0040190679,Italy
Società agricola Antico Castello di Francesco Romano e C,0040147449,Italy
Antico Torronificio Nisseno Srl,0015640040,Italy
Antigua Processors S.A.,0040143085,Guatemala
DESEO SRL Biscottificio Antonio Mattei - Deseo,0002399605,Italy
"Antonio Pamies, S.L.",0002404261,Spain
Anverally & Sons (PVT) Ltd.,0040057888,Sri Lanka
"Anydoctor Healthcare Co.,Ltd.",0040188724,"Korea, Republic of"
"AP Complex, LLC",0016043865,Ukraine
"Aperitivos Flaper, S.A.",0002503425,Spain
"Aperitivos Medina 3, S.L.",0016045638,Spain
Agencia Brasileira de Promocao de Exportacoes do Brasil Apex-Brasil,0002399302,Brazil
Comercial Apicola Rossend Margalef SL,0040106122,Spain
Apicoltura F. Leonardi,0040197717,Italy
Apis,0040190882,Spain
APIS India Limited,0013266479,India
"Apiterapijos Centras, JSC",0040190054,Lithuania
Aplex Trading S.A.C.,0040016450,Peru
Apollo Milchprodukte GmbH,0002228382,Germany
SO Appenzeller Käse GmbH,0002271160,Switzerland
"Apple's Island (Thailand) Co., Ltd.",0040144919,Thailand
Appy Food & Drinks,0040189178,United Kingdom
Aprifood Tarim Urunleri Gida San. Tic. Ltd. Sti. (Aprifood LTD),0040192521,Turkey
Apriko Agriculture Procucts & Industry Ltd.,0040143399,Turkey
Apsa (Chiaseedsguatemala),0040191356,Guatemala
Apulia Food S.r.l.,0015404802,Italy
Apymel,0040145444,Argentina
"Ltd ""Aquafrost""",0040193725,Ukraine
Aquapri A/S,0015975489,Denmark
Arab Beverages EST,0014839271,United Arab Emirates
Arab company for Modern Industries - Dala Juice,0015618856,Saudi Arabia
Arab Dairy Products Co.,0002454002,Egypt
"Arabatzis Michail S.A. ""Hellenic Dough""",0040097780,Greece
Arabian Milling & Food Industries Co. S.A.E.,0040115498,Egypt
Arami Group,0040143869,Iran
Arat Company Pjs,0040095360,Iran
Assegnatari Associati Arborea Soc. Coop. Agr. P.A.,0002293237,Italy
Arcor S.A.I.C.,0013091924,Argentina
Ardo N.V.,0001028154,Belgium
Aretol d.o.o.,0012150848,Serbia
ARGAL Deutschland GmbH,0002508456,Germany
Argall S.R.L.,0040014723,Argentina
Argensun S.A.,0002363290,Argentina
Argenti Lemon S.A.,0040097701,Argentina
Argentina Fundacion Exportar,0002368369,Argentina
Argentina Olive Group,0040190782,Argentina
Argentine Beef Promotion Institute (IPCVA),0002479229,Argentina
Argentine Yerba Mate,0040106856,Argentina
Argentrade International B.V.,0002209456,Netherlands
Argex International S.A.,0002503851,Argentina
Argos  International Marketing PVT. LTD. Amiti Overseas DMCC,0040197617,India
Argru S.A.S.,0002452560,France
Ari Susam Sanayi ve Ticaret A.S.,0040192534,Turkey
Ariosto SpA,0040191425,Italy
Arluy S.L.,0001582887,Spain
ARMA Oils (Join-Stock Company),0013363295,Egypt
Armada Gida Tic. San. A.S.,0040143402,Turkey
Armando De Angelis srl,0040194076,Italy
Armbruster W. Teigwarenfabrik GmbH,0012356588,Germany
Armonie Italiane SRL,0040111301,Italy
Arnika Foods,0040193510,Turkey
Arnone Soft Drinks S.r.l.,0014862222,Italy
Aroma Bursa Meyve Sulari Ve Gida San. A.S.,0011125334,Turkey
Aroma Snacks GmbH & Co. KG,0040134724,Germany
"Aromaline Co., Ltd",0040191907,"Korea, Republic of"
Aromaproduct Ltd,0016858180,Georgia
AromaProducts Ltd,0040111852,Georgia
Arosis S.A.,0002332967,Greece
ARP Soc. Agr. Coop.,0002294982,Italy
Arre Beef S.A.,0002285519,Argentina
Arrigoni Battista SPA,0013041674,Italy
Arrive SAS - Maitre Coq,0012403523,France
Arrocerias Antonio Tomas S.L.,0040016761,Spain
"Arrossaires del Delta De L'Ebre I Seccio de Credit, S.C.C.L.",0015405433,Spain
"Jamones Arroyo, S.L.",0002212007,Spain
Arsial,0002381275,Italy
ART OF OIL e.K.,0040174531,Germany
"Artchit International Peper & Spice Co., Ltd.",0040144923,Thailand
SC Artesans del Sucre SRL,0001900501,Romania
Artibel Snc di Arlia Francesco & C.,0001913689,Italy
Artigiana Genovese s.r.l.,0002412122,Italy
Artigiana Biscotti S.N.C,0012150987,Italy
Artiginao Dell Nduja,0040199037,Italy
Artisan Biscuits,0002523654,United Kingdom
